match\%:0.358974358974359ave match\%:0.358974358974359
match\%:0.04ave match\%:0.19948717948717948
match\%:0.40384615384615385ave match\%:0.2676068376068376
match\%:0.06666666666666667ave match\%:0.21737179487179487
match\%:0.19047619047619047ave match\%:0.211992673992674
match\%:0.15384615384615385ave match\%:0.2023015873015873
match\%:0.0ave match\%:0.17340136054421768
match\%:0.09090909090909091ave match\%:0.1630898268398268
match\%:0.19047619047619047ave match\%:0.1661327561327561
match\%:0.14285714285714285ave match\%:0.1638051948051948
match\%:0.1111111111111111ave match\%:0.15901482356027807
match\%:0.0ave match\%:0.14576358826358823
match\%:0.0ave match\%:0.13455100455100452
match\%:0.0ave match\%:0.12494021851164706
match\%:0.0ave match\%:0.1166108706108706
match\%:0.02702702702702703ave match\%:0.11101188038688037
