match\%:0.9230769230769231ave match\%:0.9230769230769231
match\%:0.92ave match\%:0.9215384615384616
match\%:0.9038461538461539ave match\%:0.9156410256410257
match\%:0.5333333333333333ave match\%:0.8200641025641026
match\%:0.5714285714285714ave match\%:0.7703369963369964
match\%:0.5384615384615384ave match\%:0.7316910866910867
match\%:1.0ave match\%:0.7700209314495029
match\%:0.8181818181818182ave match\%:0.7760410422910423
match\%:0.7142857142857143ave match\%:0.7691793391793392
match\%:0.7142857142857143ave match\%:0.7636899766899767
match\%:0.6388888888888888ave match\%:0.7523444232535141
match\%:1.0ave match\%:0.7729823879823879
match\%:0.5ave match\%:0.7519837427529735
match\%:0.9333333333333333ave match\%:0.764937284937285
match\%:0.7777777777777778ave match\%:0.7657933177933178
match\%:0.8918918918918919ave match\%:0.7736744786744787
match\%:0.8666666666666667ave match\%:0.7791446073799015
