match\%:0.030303030303030304ave match\%:0.030303030303030304
match\%:0.06666666666666667ave match\%:0.048484848484848485
match\%:0.1111111111111111ave match\%:0.06936026936026936
match\%:0.0ave match\%:0.05202020202020202
match\%:0.0ave match\%:0.04161616161616162
match\%:0.0ave match\%:0.03468013468013468
match\%:0.045454545454545456ave match\%:0.03621933621933622
match\%:0.07692307692307693ave match\%:0.04130730380730381
match\%:0.125ave match\%:0.05060649227315894
match\%:0.03333333333333333ave match\%:0.04887917637917638
match\%:0.0ave match\%:0.044435614890160346
match\%:0.0ave match\%:0.04073264698264698
match\%:0.10526315789473684ave match\%:0.045696532437423124
match\%:0.041666666666666664ave match\%:0.04540868488236909
match\%:0.14285714285714285ave match\%:0.051905248747354006
match\%:0.0ave match\%:0.04866117070064438
match\%:0.0ave match\%:0.04579874889472412
match\%:0.07692307692307693ave match\%:0.04752787822963261
match\%:0.038461538461538464ave match\%:0.04705070245236449
match\%:0.03125ave match\%:0.04626066732974627
match\%:0.07692307692307693ave match\%:0.047720782072285826
match\%:0.0ave match\%:0.04555165561445465
match\%:0.09090909090909091ave match\%:0.04752371801856927
match\%:0.0ave match\%:0.045543563101128885
match\%:0.07142857142857142ave match\%:0.046578963434226586
match\%:0.07692307692307693ave match\%:0.04774604472225929
match\%:0.0ave match\%:0.045977672695508946
match\%:0.06666666666666667ave match\%:0.046716565337336
match\%:0.0ave match\%:0.04510564929122097
match\%:0.0ave match\%:0.04360212764818027
match\%:0.0ave match\%:0.04219560740146478
match\%:0.0ave match\%:0.040876994670169
match\%:0.0ave match\%:0.039638297861982065
match\%:0.0ave match\%:0.03847246557192377
match\%:0.0ave match\%:0.037373252269868804
match\%:0.0ave match\%:0.036335106373483556
match\%:0.0ave match\%:0.03535307647149752
match\%:0.0ave match\%:0.03442273235382653
match\%:0.0ave match\%:0.0335400981909079
match\%:0.0ave match\%:0.0327015957361352
match\%:0.07692307692307693ave match\%:0.03378016844801183
match\%:0.0ave match\%:0.03297587872305917
match\%:0.0ave match\%:0.03220899782252291
match\%:0.0ave match\%:0.031476975144738295
match\%:0.0ave match\%:0.030777486808188554
match\%:0.0ave match\%:0.030108411008010542
match\%:0.16666666666666666ave match\%:0.033013905809258545
match\%:0.0ave match\%:0.032326116104898994
match\%:0.09090909090909091ave match\%:0.03352168701927025
match\%:0.0ave match\%:0.03285125327888485
match\%:0.0ave match\%:0.03220711105773025
match\%:0.0ave match\%:0.03158774353738928
match\%:0.0ave match\%:0.030991748376306465
match\%:0.0ave match\%:0.030417827110078566
match\%:0.2ave match\%:0.033501139344440774
match\%:0.0ave match\%:0.03290290471329004
match\%:0.05263157894736842ave match\%:0.03324902180511598
match\%:0.25ave match\%:0.036986107636062256
match\%:0.0ave match\%:0.03635922445579001
match\%:0.0ave match\%:0.035753237381526845
match\%:0.0ave match\%:0.035167118735928045
match\%:0.0ave match\%:0.03459990714341308
match\%:0.0ave match\%:0.034050702268120805
match\%:0.09090909090909091ave match\%:0.034939114590635964
match\%:0.0ave match\%:0.034401589750780025
match\%:0.0ave match\%:0.03388035354243488
match\%:0.25ave match\%:0.03710601990747316
match\%:0.0ave match\%:0.03656034314412797
match\%:0.0ave match\%:0.0360304830985609
match\%:0.0ave match\%:0.0355157619114386
match\%:0.0ave match\%:0.03501553991268594
match\%:0.0ave match\%:0.03452921296945419
match\%:0.0ave match\%:0.034056210052064405
match\%:0.0ave match\%:0.03359599099730678
match\%:0.0ave match\%:0.033148044450676026
match\%:0.0ave match\%:0.032711885971061866
match\%:0.3333333333333333ave match\%:0.036616060612130324
match\%:0.0ave match\%:0.036146623937615835
match\%:0.0ave match\%:0.035689071735873865
match\%:0.0ave match\%:0.03524295833917544
match\%:0.0ave match\%:0.03480786008807451
match\%:0.0ave match\%:0.034383373989439456
match\%:0.0ave match\%:0.0339691164714944
match\%:0.09090909090909091ave match\%:0.034646973310037216
match\%:0.0ave match\%:0.034239361859330894
match\%:0.0ave match\%:0.033841229744687513
match\%:0.0ave match\%:0.033452250092449724
match\%:0.0ave match\%:0.0330721108868537
match\%:0.0ave match\%:0.03270051413531602
match\%:0.0ave match\%:0.032337175089368064
match\%:0.0ave match\%:0.03198182151695743
match\%:0.0ave match\%:0.03163419302220789
match\%:0.0ave match\%:0.031294040409065874
match\%:0.0ave match\%:0.03096112508556517
match\%:0.0ave match\%:0.030635218505717116
match\%:0.0ave match\%:0.030316101646282564
match\%:0.0ave match\%:0.030003564515908517
match\%:0.0ave match\%:0.029697405694317613
match\%:0.0ave match\%:0.029397431899425515
match\%:0.0ave match\%:0.02910345758043126
match\%:0.0ave match\%:0.028815304535080456
match\%:0.0ave match\%:0.02853280154944241
match\%:0.5ave match\%:0.03311015299070996
match\%:0.0ave match\%:0.03279178613503006
match\%:0.125ave match\%:0.03366995960041072
match\%:0.0ave match\%:0.033352318472104965
match\%:0.0ave match\%:0.03304061456115071
match\%:0.0ave match\%:0.03273468294484376
match\%:0.0ave match\%:0.03243436475268923
match\%:0.0ave match\%:0.03213950689130114
match\%:0.037037037037037035ave match\%:0.03218362878450597
match\%:0.0ave match\%:0.03189627495607288
